项目经理名称,决策状态,回购进程,当前审批人,电池型号,电池SN,回购业务编号,回购决策编号,业务状态,创建时间,更新时间,车辆品牌,车架号,回购来源,所属部门,付款申请编号,付款申请时间,付款申请状态,付款时间,收款方,回购金额,已付款金额,未付款金额,支付方式,付款明细状态,租售决策通过时间,总部套数,付款套数,距离今天天数
尚勇磊,审批通过,回购中,"郭涛,魏然",CTB-CVP-400kWh电池系统（兰钧）,AD0PBF8XG017,LDJT-2026-014-JZCH-09737,PPS-202604-2151,已会签,2026-05-07 14:33:55.0,2026-06-14 11:28:55.0,徐工,LC1HMYBF7S0040183,晋中常辉汽车运输有限公司,事业二部二组,PREQ-20260630-0143,2026-07-06 18:29:31.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-14,5.0,5,33
尚勇磊,审批通过,回购中,"郭涛,魏然",CTB-CVP-400kWh电池系统（兰钧）,AD0PBF8WG002,LDJT-2026-014-JZCH-09737,PPS-202604-2151,已会签,2026-05-07 14:33:55.0,2026-06-14 11:28:55.0,徐工,LC1HMYBF6S0040188,晋中常辉汽车运输有限公司,事业二部二组,PREQ-20260630-0143,2026-07-06 18:29:31.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-14,5.0,5,33
尚勇磊,审批通过,回购中,"郭涛,魏然",CTB-CVP-400kWh电池系统（兰钧）,AD0PBF87G004,LDJT-2026-014-JZCH-09737,PPS-202604-2151,已会签,2026-05-07 14:33:55.0,2026-06-14 11:28:55.0,徐工,LC1HMYBF2S0040186,晋中常辉汽车运输有限公司,事业二部二组,PREQ-20260630-0143,2026-07-06 18:29:31.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-14,5.0,5,33
张旺龙,审批通过,未回购,,CTB-CVP-400kWh电池系统（兰钧）,AD0PBF9WG022,LDJT-2026-014-JZCH-13192,PPS-202606-405,已会签,2026-06-05 11:43:16.0,2026-06-24 09:33:46.0,徐工,LC1HMYBF8S0040192,晋中常辉汽车运输有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-24,6.0,6,23
张旺龙,审批通过,未回购,,CTB-CVP-400kWh电池系统（兰钧）,AD0PBF8YG001,LDJT-2026-014-JZCH-13192,PPS-202606-405,已会签,2026-06-05 11:43:16.0,2026-06-24 09:33:46.0,徐工,LC1HMYBF5S0040182,晋中常辉汽车运输有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-24,6.0,6,23
张旺龙,审批通过,未回购,,CTB-CVP-400kWh电池系统（兰钧）,AD0PBF8XG001,LDJT-2026-014-JZCH-13192,PPS-202606-405,已会签,2026-06-05 11:43:16.0,2026-06-24 09:33:46.0,徐工,LC1HMYBF5S0040179,晋中常辉汽车运输有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-24,6.0,6,23
张旺龙,审批通过,未回购,,CTB-CVP-400kWh电池系统（兰钧）,AD0PBF8VG023,LDJT-2026-014-JZCH-13192,PPS-202606-405,已会签,2026-06-05 11:43:16.0,2026-06-24 09:33:46.0,徐工,LC1HMYBF2S0040169,晋中常辉汽车运输有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-24,6.0,6,23
张旺龙,审批通过,未回购,,CTB-CVP-400kWh电池系统（兰钧）,AD0PBF87G005,LDJT-2026-014-JZCH-13192,PPS-202606-405,已会签,2026-06-05 11:43:16.0,2026-06-24 09:33:46.0,徐工,LC1HMYBF1S0040177,晋中常辉汽车运输有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-24,6.0,6,23
张旺龙,审批通过,未回购,,CTB-CVP-400kWh电池系统（兰钧）,AD0PBF7WG011,LDJT-2026-014-JZCH-13192,PPS-202606-405,已会签,2026-06-05 11:43:16.0,2026-06-24 09:33:46.0,徐工,LC1HMYBF0S0040185,晋中常辉汽车运输有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-24,6.0,6,23
张旺龙,审批通过,未回购,,CTB-CVP-400kWh电池系统（兰钧）,AD5PBFANG036,LDJT-2026-014-JZHJQC-07568,PPS-202604-844,已会签,2026-04-15 15:17:25.0,2026-04-30 15:40:03.0,徐工,LC1HMYBF0S0043233,晋中航晋汽车销售服务有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-04-30,1.0,1,78
张旺龙,审批通过,未回购,,CTB-CVP-400kWh电池系统（兰钧）,AD0PBG4BJJ16,LDJT-2026-014-JZHJQC-08427,PPS-202604-1490,已会签,2026-04-22 17:01:09.0,2026-04-30 15:38:43.0,徐工,LC1HMYBFXT0009530,晋中航晋汽车销售服务有限公司,事业二部二组,PREQ-20260625-0102,2026-06-25 16:26:59.0,草稿,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-04-30,3.0,3,78
张旺龙,审批通过,未回购,,CTB-CVP-400kWh电池系统（兰钧）,AD0PBG4BJJ15,LDJT-2026-014-JZHJQC-08427,PPS-202604-1490,已会签,2026-04-22 17:01:09.0,2026-04-30 15:38:43.0,徐工,LC1HMYBF3T0009529,晋中航晋汽车销售服务有限公司,事业二部二组,PREQ-20260625-0102,2026-06-25 16:26:59.0,草稿,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-04-30,3.0,3,78
张旺龙,审批通过,未回购,,CTB-CVP-400kWh电池系统（兰钧）,AD0PBG4BJJ07,LDJT-2026-014-JZHJQC-08427,PPS-202604-1490,已会签,2026-04-22 17:01:09.0,2026-04-30 15:38:43.0,徐工,LC1HMYBF1T0009528,晋中航晋汽车销售服务有限公司,事业二部二组,PREQ-20260625-0102,2026-06-25 16:26:59.0,草稿,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-04-30,3.0,3,78
张旺龙,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG4XJJ14,LDJT-2026-014-JZHJQC-10276,PPS-202605-522,已会签,2026-05-11 17:01:10.0,2026-06-17 12:50:22.0,徐工,LC1HMYBE3T0023048,晋中航晋汽车销售服务有限公司,事业二部二组,PREQ-20260625-0093,2026-06-25 16:10:20.0,草稿,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-17,1.0,1,30
张旺龙,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,BD0PBG4PKX09,LDJT-2026-014-JZHJQC-11020,PPS-202605-974,已会签,2026-05-16 18:26:01.0,2026-06-25 11:46:02.0,徐工,LC1HMYBFXT0021127,晋中航晋汽车销售服务有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-25,1.0,1,22
张旺龙,审批通过,未回购,,CTB-CVP-400kWh电池系统（兰钧）,AD0PBFBEG008,LDJT-2026-014-JZHJQC-11493,PPS-202605-1299,已会签,2026-05-20 16:53:13.0,2026-06-24 09:36:48.0,徐工,LC1HMYBF7S0036571,晋中航晋汽车销售服务有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-24,1.0,1,23
尚勇磊,审批通过,回购中,柯恒,CTB-CVP-400kWh电池系统（兰钧）,AD0PBFBNG028,LDJT-2026-014-JZHJQC-12701,PPS-202606-102,已会签,2026-06-02 09:47:36.0,2026-06-24 09:33:38.0,徐工,LC1HMYBF1S0035397,晋中航晋汽车销售服务有限公司,事业二部二组,PREQ-20260707-0012,2026-07-10 16:06:30.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-24,1.0,1,23
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG1TJJ07,LDJT-2026-014-JZZB-11080,PPS-202605-658,已会签,2026-05-18 11:23:17.0,2026-05-28 11:52:11.0,陕重汽,LZGJLM44XTX036718,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0010,2026-07-14 09:35:47.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-28,12.0,12,50
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG1PJJ06,LDJT-2026-014-JZZB-11080,PPS-202605-658,已会签,2026-05-18 11:23:17.0,2026-05-28 11:52:11.0,陕重汽,LZGJLM44XTX036699,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0010,2026-07-14 09:35:47.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-28,12.0,12,50
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1TJJ11,LDJT-2026-014-JZZB-11080,PPS-202605-658,已会签,2026-05-18 11:23:17.0,2026-05-28 11:52:11.0,陕重汽,LZGJLM449TX036712,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0010,2026-07-14 09:35:47.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-28,12.0,12,50
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1MJJ21,LDJT-2026-014-JZZB-11080,PPS-202605-658,已会签,2026-05-18 11:23:17.0,2026-05-28 11:52:11.0,陕重汽,LZGJLM448TX036703,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0010,2026-07-14 09:35:47.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-28,12.0,12,50
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1MJJ19,LDJT-2026-014-JZZB-11080,PPS-202605-658,已会签,2026-05-18 11:23:17.0,2026-05-28 11:52:11.0,陕重汽,LZGJLM447TX036708,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0010,2026-07-14 09:35:47.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-28,12.0,12,50
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1MJJ12,LDJT-2026-014-JZZB-11080,PPS-202605-658,已会签,2026-05-18 11:23:17.0,2026-05-28 11:52:11.0,陕重汽,LZGJLM446TX036716,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0010,2026-07-14 09:35:47.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-28,12.0,12,50
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1MJJ09,LDJT-2026-014-JZZB-11080,PPS-202605-658,已会签,2026-05-18 11:23:17.0,2026-05-28 11:52:11.0,陕重汽,LZGJLM446TX036702,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0010,2026-07-14 09:35:47.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-28,12.0,12,50
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1MJJ07,LDJT-2026-014-JZZB-11080,PPS-202605-658,已会签,2026-05-18 11:23:17.0,2026-05-28 11:52:11.0,陕重汽,LZGJLM445TX036707,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0010,2026-07-14 09:35:47.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-28,12.0,12,50
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG19JJ03,LDJT-2026-014-JZZB-11080,PPS-202605-658,已会签,2026-05-18 11:23:17.0,2026-05-28 11:52:11.0,陕重汽,LZGJLM444TX036701,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0010,2026-07-14 09:35:47.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-28,12.0,12,50
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG19JJ02,LDJT-2026-014-JZZB-11080,PPS-202605-658,已会签,2026-05-18 11:23:17.0,2026-05-28 11:52:11.0,陕重汽,LZGJLM442TX036714,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0010,2026-07-14 09:35:47.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-28,12.0,12,50
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG18JJ19,LDJT-2026-014-JZZB-11080,PPS-202605-658,已会签,2026-05-18 11:23:17.0,2026-05-28 11:52:11.0,陕重汽,LZGJLM442TX036700,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0010,2026-07-14 09:35:47.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-28,12.0,12,50
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG16JJ29,LDJT-2026-014-JZZB-11080,PPS-202605-658,已会签,2026-05-18 11:23:17.0,2026-05-28 11:52:11.0,陕重汽,LZGJLM440TX036713,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0010,2026-07-14 09:35:47.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-28,12.0,12,50
尚勇磊,审批通过,回购中,闫志芸,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG16JJ16,LDJT-2026-014-JZZB-11713,PPS-202605-1310,已会签,2026-05-22 09:53:24.0,2026-05-29 17:17:36.0,陕重汽,LZGJLM443TX036706,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260709-0037,2026-07-15 20:19:42.0,审批中,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-29,2.0,2,49
尚勇磊,审批通过,回购中,闫志芸,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG16JJ08,LDJT-2026-014-JZZB-11713,PPS-202605-1310,已会签,2026-05-22 09:53:24.0,2026-05-29 17:17:36.0,陕重汽,LZGJLM441TX036705,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260709-0037,2026-07-15 20:19:42.0,审批中,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-29,2.0,2,49
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBJHF13,LDJT-2026-014-JZZB-13276,PPS-202606-462,已会签,2026-06-07 09:39:56.0,2026-06-23 09:02:42.0,陕重汽,LZGJLM440TX020768,晋中众邦汽车销售服务有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-23,1.0,1,24
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1PJJ29,LDJT-2026-014-JZZB-13972,PPS-202606-947,已会签,2026-06-12 15:08:33.0,2026-06-24 09:35:18.0,陕重汽,LZGJLM44XTX036167,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260713-0094,2026-07-13 15:18:40.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-24,4.0,4,23
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1PJJ19,LDJT-2026-014-JZZB-13972,PPS-202606-947,已会签,2026-06-12 15:08:33.0,2026-06-24 09:35:18.0,陕重汽,LZGJLM448TX036166,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260713-0094,2026-07-13 15:18:40.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-24,4.0,4,23
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1PJJ18,LDJT-2026-014-JZZB-13972,PPS-202606-947,已会签,2026-06-12 15:08:33.0,2026-06-24 09:35:18.0,陕重汽,LZGJLM445TX036173,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260713-0094,2026-07-13 15:18:40.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-24,4.0,4,23
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFCGJJ79,LDJT-2026-014-JZZB-13972,PPS-202606-947,已会签,2026-06-12 15:08:33.0,2026-06-24 09:35:18.0,陕重汽,LZGJLM440TX036176,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260713-0094,2026-07-13 15:18:40.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-24,4.0,4,23
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1PJJ26,LDJT-2026-014-JZZB-14179,PPS-202606-1092,已会签,2026-06-15 15:03:59.0,2026-06-30 19:11:03.0,陕重汽,LZGJLM444TX036164,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260713-0176,2026-07-13 17:42:45.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,2.0,2,17
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFC6JJ14,LDJT-2026-014-JZZB-14179,PPS-202606-1092,已会签,2026-06-15 15:03:59.0,2026-06-30 19:11:03.0,陕重汽,LZGJLM440TX036162,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260713-0176,2026-07-13 17:42:45.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-30,2.0,2,17
尚勇磊,审批通过,回购中,柯恒,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1DJJ18,LDJT-2026-014-JZZB-14336,PPS-202606-1061,已会签,2026-06-16 11:25:27.0,2026-06-17 19:45:32.0,陕重汽,LZGJLM449TX036158,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260709-0053,2026-07-10 16:00:36.0,审批中,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-17,2.0,2,30
尚勇磊,审批通过,回购中,柯恒,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1CJJ12,LDJT-2026-014-JZZB-14336,PPS-202606-1061,已会签,2026-06-16 11:25:27.0,2026-06-17 19:45:32.0,陕重汽,LZGJLM440TX036159,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260709-0053,2026-07-10 16:00:36.0,审批中,,,329400.0,0.0,329400.0,银行承兑汇票,待付款,2026-06-17,2.0,2,30
尚勇磊,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1DJJ03,LDJT-2026-014-JZZB-14549,PPS-202606-944,已会签,2026-06-17 15:06:56.0,2026-06-25 16:49:12.0,陕重汽,LZGJLM447TX036160,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260714-0003,2026-07-14 09:08:02.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-25,1.0,1,22
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG1EJJ04,LDJT-2026-014-JZZB-15270,PPS-202606-1759,已会签,2026-06-25 17:46:27.0,2026-07-02 19:36:17.0,陕重汽,LZGJLM441TX036154,晋中众邦汽车销售服务有限公司,事业二部二组,PREQ-20260713-0074,2026-07-13 13:56:53.0,草稿,,,329400.0,0.0,329400.0,汇款,待付款,2026-07-02,1.0,1,15
张旺龙,审批通过,回购中,"郭涛,魏然",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4PJJ10,LDJT-2026-014-LCKY-12581,PPS-202605-1747,已会签,2026-06-01 10:47:22.0,2026-06-30 13:48:09.0,柳汽,LNXKBLF88TL405833,山西龙城跨越贸易有限公司,事业二部二组,PREQ-20260709-0041,2026-07-09 14:31:00.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-30,5.0,5,17
张旺龙,审批通过,回购中,"郭涛,魏然",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4PJJ08,LDJT-2026-014-LCKY-12581,PPS-202605-1747,已会签,2026-06-01 10:47:22.0,2026-06-30 13:48:09.0,柳汽,LNXKBLF87TL411901,山西龙城跨越贸易有限公司,事业二部二组,PREQ-20260709-0041,2026-07-09 14:31:00.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-30,5.0,5,17
张旺龙,审批通过,回购中,"郭涛,魏然",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4PJJ05,LDJT-2026-014-LCKY-12581,PPS-202605-1747,已会签,2026-06-01 10:47:22.0,2026-06-30 13:48:09.0,柳汽,LNXKBLF84TL405831,山西龙城跨越贸易有限公司,事业二部二组,PREQ-20260709-0041,2026-07-09 14:31:00.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-30,5.0,5,17
张旺龙,审批通过,回购中,"郭涛,魏然",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBCHF11,LDJT-2026-014-LCKY-12581,PPS-202605-1747,已会签,2026-06-01 10:47:22.0,2026-06-30 13:48:09.0,柳汽,LNXKBLF82TL411904,山西龙城跨越贸易有限公司,事业二部二组,PREQ-20260709-0041,2026-07-09 14:31:00.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-30,5.0,5,17
张旺龙,审批通过,回购中,"郭涛,魏然",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBCHF05,LDJT-2026-014-LCKY-12581,PPS-202605-1747,已会签,2026-06-01 10:47:22.0,2026-06-30 13:48:09.0,柳汽,LNXKBLF80TL411903,山西龙城跨越贸易有限公司,事业二部二组,PREQ-20260709-0041,2026-07-09 14:31:00.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-30,5.0,5,17
张旺龙,审批通过,回购中,"郭涛,魏然",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4LJJ22,LDJT-2026-014-LCKY-13847,PPS-202605-1749,已会签,2026-06-11 16:33:46.0,2026-06-17 12:50:46.0,柳汽,LNXKBLF86TL405832,山西龙城跨越贸易有限公司,事业二部二组,PREQ-20260709-0047,2026-07-09 14:34:00.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-17,2.0,4,30
张旺龙,审批通过,回购中,"郭涛,魏然",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4LJJ20,LDJT-2026-014-LCKY-13847,PPS-202605-1749,已会签,2026-06-11 16:33:46.0,2026-06-17 12:50:46.0,柳汽,LNXKBLF85SL223554,山西龙城跨越贸易有限公司,事业二部二组,PREQ-20260709-0047,2026-07-09 14:34:00.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-17,2.0,4,30
王晓琪,审批通过,回购中,闫志芸,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBF92GC08,LDJT-2026-014-LFJY-04663,PPS-202603-485,已会签,2026-03-16 13:55:57.0,2026-06-28 13:58:05.0,解放,LFWSRXDL1S1F19980,临汾晋运汽车经销服务有限公司,事业二部三组,PREQ-20260713-0180,2026-07-15 17:57:49.0,审批中,,,363300.0,0.0,363300.0,汇款,待付款,2026-06-28,1.0,1,19
王晓琪,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFAKGC20,LDJT-2026-014-LFJY-09765,PPS-202605-160,已会签,2026-05-07 15:37:25.0,2026-05-19 17:18:02.0,解放,LFWSRXDL5S1F25278,临汾晋运汽车经销服务有限公司,事业二部三组,PREQ-20260701-0072,2026-07-03 13:25:31.0,待执行,,,329400.0,0.0,329400.0,汇款,待付款,2026-05-19,1.0,1,59
张旺龙,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFAEHF07,LDJT-2026-014-LHGM-06016,PPS-202603-1166,已会签,2026-03-30 14:35:06.0,2026-04-01 13:35:56.0, 德创未来,LZGJLM447SX134698,山西龙海国贸汽车销售服务有限公司,事业二部二组,PREQ-20260617-0026,2026-07-03 16:56:16.0,审批拒绝,,,329400.0,0.0,329400.0,"商业承兑汇票,银行承兑汇票","待付款,待付款",2026-04-01,3.0,3,107
张旺龙,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFASHF45,LDJT-2026-014-LHGM-06016,PPS-202603-1166,已会签,2026-03-30 14:35:06.0,2026-04-01 13:35:56.0, 德创未来,LZGJLM443SX134696,山西龙海国贸汽车销售服务有限公司,事业二部二组,PREQ-20260617-0026,2026-07-03 16:56:16.0,审批拒绝,,,329400.0,0.0,329400.0,"商业承兑汇票,银行承兑汇票","待付款,待付款",2026-04-01,3.0,3,107
张旺龙,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFA3JC43,LDJT-2026-014-LHGM-06016,PPS-202603-1166,已会签,2026-03-30 14:35:06.0,2026-04-01 13:35:56.0, 德创未来,LZGJLM441SX134695,山西龙海国贸汽车销售服务有限公司,事业二部二组,PREQ-20260617-0026,2026-07-03 16:56:16.0,审批拒绝,,,329400.0,0.0,329400.0,"商业承兑汇票,银行承兑汇票","待付款,待付款",2026-04-01,3.0,3,107
尚勇磊,审批通过,回购中,柯恒,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFC9JJ44,LDJT-2026-014-LLHY-12648,PPS-202605-1329,已会签,2026-06-01 15:55:31.0,2026-06-12 09:27:01.0,解放,LFWSRUDL6T1F03161,吕梁环优汽车贸易有限公司,事业二部二组,PREQ-20260709-0061,2026-07-13 19:15:19.0,审批中,,,329400.0,0.0,329400.0,汇款,待付款,2026-06-12,1.0,1,35
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFACJC58,LDJT-2026-014-LYNY-13831,PPS-202604-1472,已会签,2026-06-11 15:10:50.0,2026-07-03 15:17:46.0,陕重汽,LZGJLM44XSX128247,山西良尧能源有限公司,事业二部二组,PREQ-20260713-0058,2026-07-13 11:18:08.0,草稿,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-07-03,2.0,2,14
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFA4JC29,LDJT-2026-014-LYNY-13831,PPS-202604-1472,已会签,2026-06-11 15:10:50.0,2026-07-03 15:17:46.0,陕重汽,LZGJLM448SX128246,山西良尧能源有限公司,事业二部二组,PREQ-20260713-0058,2026-07-13 11:18:08.0,草稿,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-07-03,2.0,2,14
张旺龙,审批通过,回购中,柯恒,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4SJJ25,LDJT-2026-014-LYXNY-13345,PPS-202606-480,已会签,2026-06-08 11:31:28.0,2026-06-11 18:16:16.0, 德创未来,LZGCR2463TX078533,山西绿越新能源科技有限公司,事业二部二组,PREQ-20260701-0016,2026-07-13 14:15:32.0,审批中,,,308100.0,0.0,308100.0,"银行承兑汇票,商业承兑汇票","待付款,待付款",2026-06-11,2.0,2,36
张旺龙,审批通过,回购中,柯恒,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4SJJ24,LDJT-2026-014-LYXNY-13345,PPS-202606-480,已会签,2026-06-08 11:31:28.0,2026-06-11 18:16:16.0, 德创未来,LZGCR2461TX078532,山西绿越新能源科技有限公司,事业二部二组,PREQ-20260701-0016,2026-07-13 14:15:32.0,审批中,,,308100.0,0.0,308100.0,"银行承兑汇票,商业承兑汇票","待付款,待付款",2026-06-11,2.0,2,36
