项目经理名称,决策状态,回购进程,当前审批人,电池型号,电池SN,回购业务编号,回购决策编号,业务状态,创建时间,更新时间,车辆品牌,车架号,回购来源,所属部门,付款申请编号,付款申请时间,付款申请状态,付款时间,收款方,回购金额,已付款金额,未付款金额,支付方式,付款明细状态,租售决策通过时间,总部套数,付款套数,距离今天天数
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFBMJJ18,LDJT-2026-014-JYWL-12398,PPS-202605-883,已会签,2026-05-28 14:30:30.0,2026-06-14 11:28:01.0,徐工,LC1HMYBF6S0070940,灵石县靖烨物流有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-14,8.0,8,33
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBMJJ81,LDJT-2026-014-JYWL-12398,PPS-202605-883,已会签,2026-05-28 14:30:30.0,2026-06-14 11:28:01.0,徐工,LC1HMYBF6S0070937,灵石县靖烨物流有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-14,8.0,8,33
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBMJJ59,LDJT-2026-014-JYWL-12398,PPS-202605-883,已会签,2026-05-28 14:30:30.0,2026-06-14 11:28:01.0,徐工,LC1HMYBF6S0070906,灵石县靖烨物流有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-14,8.0,8,33
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBMJJ39,LDJT-2026-014-JYWL-12398,PPS-202605-883,已会签,2026-05-28 14:30:30.0,2026-06-14 11:28:01.0,徐工,LC1HMYBF4S0070922,灵石县靖烨物流有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-14,8.0,8,33
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBMJJ34,LDJT-2026-014-JYWL-12398,PPS-202605-883,已会签,2026-05-28 14:30:30.0,2026-06-14 11:28:01.0,徐工,LC1HMYBF3S0070913,灵石县靖烨物流有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-14,8.0,8,33
田若成,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBMJJ01,LDJT-2026-014-JYWL-12398,PPS-202605-883,已会签,2026-05-28 14:30:30.0,2026-06-14 11:28:01.0,徐工,LC1HMYBF0S0070951,灵石县靖烨物流有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-06-14,8.0,8,33
田若成,审批通过,回购中,"袁向荣,李欣雨,范浩民,倪光,严颖妮,陈若平,陈娇娇,蔡俊,柯恒,孔婷,资管中心,张长明,凌晓卉",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFB6HF04,LDJT-2026-014-JZBTH-11990,PPS-202605-1522,已会签,2026-05-25 18:40:38.0,2026-06-23 09:05:58.0,柳汽,LNXKBLFL4TL403713,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260702-0037,2026-07-07 17:23:09.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,2.0,2,24
田若成,审批通过,回购中,"袁向荣,李欣雨,范浩民,倪光,严颖妮,陈若平,陈娇娇,蔡俊,柯恒,孔婷,资管中心,张长明,凌晓卉",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFA1JC30,LDJT-2026-014-JZBTH-11990,PPS-202605-1522,已会签,2026-05-25 18:40:38.0,2026-06-23 09:05:58.0,柳汽,LNXKBLFL2TL403712,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260702-0037,2026-07-07 17:23:09.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,2.0,2,24
田若成,审批通过,回购中,"陈若平,柯恒,资管中心,张长明",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG33JJ10,LDJT-2026-014-JZBTH-11993,PPS-202605-1521,已会签,2026-05-25 19:15:09.0,2026-06-23 09:03:39.0,柳汽,LNXKBLG29TL408315,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260702-0046,2026-07-13 15:57:46.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,7.0,7,24
田若成,审批通过,回购中,"陈若平,柯恒,资管中心,张长明",CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBTHF67,LDJT-2026-014-JZBTH-11993,PPS-202605-1521,已会签,2026-05-25 19:15:09.0,2026-06-23 09:03:39.0,柳汽,LNXKBLG29TL407648,晋中百通汇汽车销售服务有限公司,事业二部二组,PREQ-20260702-0046,2026-07-13 15:57:46.0,审批中,,,329400.0,0.0,329400.0,商业承兑汇票,待付款,2026-06-23,7.0,7,24
